Timestamp,LogPhase,Current Mode,Expected MCU Version,Actual MCU Version,Temperature_Inlet,Temperature_Outlet,Heater_PWM,Pressure1,Pressure2,Pressure3,Pressure4,Pressure5,Pressure6,Pressure7,Conductivity1,Conductivity2,Conductivity3,Bubble1_Status,Bubble2_Status,Temperature C1/T1,Temperature T2,Temperature T3,Temperature T4,Temperature C2/T5,Skin Temperature 1,Skin Temperature 2,Skin Temperature 3,Skin Temperature 4,Flow Sensor,Pump1_Ticks,NTC_1,NTC_2,NTC_3,NTC_4,NTC_5,NTC_6,Load Cell Raw,Load Cell Ref,Load Cell Relative,Volume Calculated
2026-03-02 09:25:32,INIT,STANDBY,v2.4.1,v2.4.1,36.3055,37.2601,34.47,1013.7353,1015.1009,1016.0007,1011.7651,1010.8958,1010.9955,1013.9059,1.42346,1.43617,1.44734,0,0,36.2228,36.9435,37.549,37.2667,37.6738,33.9425,34.619,34.3805,34.7146,119.929,5.0,36.9517,37.3705,37.8122,37.9092,38.7046,39.2162,2053.16,2048.0,5.1581,0.0129
2026-03-02 09:25:34,INIT,STANDBY,v2.4.1,v2.4.1,36.9017,37.7163,36.91,1013.2888,1015.3042,1015.192,1012.042,1011.4258,1010.3528,1014.5885,1.42153,1.40553,1.45716,0,0,36.7702,36.8203,37.1582,37.5735,37.6491,34.114,34.1455,34.4699,34.4858,121.117,10.7,36.9245,37.2867,37.8055,38.5113,38.7332,38.8629,2053.36,2048.0,5.3593,0.0256
2026-03-02 09:25:36,INIT,STANDBY,v2.4.1,v2.4.1,36.4074,36.9961,37.31,1014.5611,1014.7054,1015.6547,1011.8878,1011.6919,1011.0606,1014.1436,1.4364,1.41973,1.4652,0,0,36.328,36.8852,37.1537,37.2317,37.4536,34.4178,34.3445,34.3917,35.0679,120.291,16.5,36.7655,37.7541,38.3825,37.8404,38.7054,39.1451,2056.35,2048.0,8.3511,0.0405
2026-03-02 09:25:38,INIT,STANDBY,v2.4.1,v2.4.1,36.8632,37.3253,38.4,1014.1256,1014.4417,1015.8363,1011.5534,1011.0126,1010.7995,1014.4727,1.4189,1.4136,1.46435,0,0,36.4172,37.0459,37.0216,37.2449,37.7228,33.7301,34.1981,34.0913,34.8315,124.252,21.1,37.1874,37.474,37.7533,38.5303,38.5909,39.4059,2054.28,2048.0,6.2759,0.053
2026-03-02 09:25:40,INIT,STANDBY,v2.4.1,v2.4.1,36.6236,36.8091,37.54,1014.6517,1014.7951,1014.9493,1011.0029,1011.5646,1011.0343,1015.7393,1.43868,1.42395,1.47778,0,0,35.852,36.4003,36.9558,37.1517,37.1846,33.6933,34.7686,34.8383,34.4209,122.329,26.4,36.9665,37.7267,38.0782,38.351,39.3351,39.275,2055.71,2048.0,7.7093,0.0651
2026-03-02 09:25:42,INIT,STANDBY,v2.4.1,v2.4.1,36.9065,36.8881,38.55,1014.6214,1014.913,1014.3462,1010.8499,1010.5856,1011.2724,1015.6914,1.4376,1.39638,1.47451,0,0,36.222,37.0334,36.969,37.2119,37.6635,33.9709,34.3327,33.9783,34.901,124.454,31.5,37.1598,37.65,38.0179,38.3695,39.0639,39.2636,2063.34,2048.0,15.3441,0.0788
2026-03-02 09:25:44,INIT,STANDBY,v2.4.1,v2.4.1,36.1658,37.0404,40.49,1015.0802,1014.7851,1014.3755,1011.5169,1011.2288,1011.0494,1015.8918,1.44846,1.41631,1.48703,0,0,35.7965,35.9523,36.4861,36.6382,37.2898,34.2247,33.8808,34.3941,34.7964,125.944,37.5,37.7242,38.379,38.2224,38.6547,38.8276,39.3085,2062.77,2048.0,14.7675,0.093
2026-03-02 09:25:46,INIT,STANDBY,v2.4.1,v2.4.1,36.6477,37.1871,41.98,1014.8763,1014.3941,1014.7712,1010.3089,1011.0639,1011.9416,1016.0723,1.45568,1.40839,1.49046,0,0,36.1661,36.6714,37.1177,37.6263,37.39,34.2598,33.9753,34.2565,34.8888,124.315,43.1,37.7039,37.6765,38.0919,38.392,39.3668,39.1678,2059.44,2048.0,11.4357,0.1076
2026-03-02 09:25:48,INIT,STANDBY,v2.4.1,v2.4.1,36.6971,36.7157,39.05,1015.4717,1014.7145,1014.485,1010.2463,1011.1131,1012.4065,1016.3117,1.45218,1.39703,1.4907,0,0,36.7901,36.6248,36.8431,37.0177,37.3666,33.9826,34.2506,34.9958,34.6422,126.285,48.0,37.6822,37.9712,38.3732,38.6991,38.9088,39.6138,2078.56,2048.0,30.5617,0.12
2026-03-02 09:25:50,INIT,STANDBY,v2.4.1,v2.4.1,36.6638,36.9468,39.9,1014.8624,1014.3557,1014.0716,1010.0799,1011.0614,1012.2153,1016.4912,1.42757,1.40596,1.49112,0,0,35.956,36.9198,37.0965,37.7615,37.6834,33.501,34.1687,34.5563,35.1731,127.878,53.7,37.4768,38.1589,38.3372,38.9935,39.0297,39.3201,2069.06,2048.0,21.0621,0.1325
2026-03-02 09:25:52,INIT,STANDBY,v2.4.1,v2.4.1,37.013,37.1374,42.38,1015.2802,1014.2173,1013.7267,1010.2446,1011.4843,1012.8095,1016.5902,1.45893,1.40027,1.52081,0,0,36.7262,36.5656,37.3943,37.4741,37.5652,34.0781,34.1148,34.0464,34.1685,128.208,58.5,37.5583,37.7888,38.1944,38.7697,39.0105,39.2792,2065.48,2048.0,17.4766,0.1465
2026-03-02 09:25:54,INIT,STANDBY,v2.4.1,v2.4.1,36.8679,37.4739,37.36,1015.2865,1013.904,1013.3053,1010.045,1011.721,1012.8958,1016.6813,1.45974,1.40675,1.50166,0,0,36.5288,36.4293,36.838,37.8029,37.5793,34.0472,33.7652,34.1933,34.3232,125.114,63.1,37.3659,38.1106,38.1888,38.7139,39.0235,39.3005,2080.12,2048.0,32.1238,0.1593
2026-03-02 09:25:56,INIT,STANDBY,v2.4.1,v2.4.1,37.4535,37.5146,40.19,1015.2347,1014.5393,1013.2965,1009.48,1011.9163,1013.0597,1016.6297,1.47381,1.38352,1.51612,0,0,36.785,37.0279,37.6611,38.1968,38.286,34.3082,34.8334,34.2892,34.4524,131.03,68.3,37.219,37.776,38.1069,38.3716,39.1034,39.4772,2074.59,2048.0,26.5893,0.1706
2026-03-02 09:25:58,INIT,STANDBY,v2.4.1,v2.4.1,36.9565,37.8715,42.05,1015.2473,1013.6173,1013.1561,1010.0939,1012.6746,1013.6232,1016.9222,1.45953,1.38232,1.5106,0,0,36.1687,36.5139,36.9468,37.6507,37.4963,33.9261,34.2855,34.2654,35.3136,130.201,73.0,37.3928,37.7408,38.4061,38.4113,39.1807,39.6013,2081.19,2048.0,33.1936,0.1832
